arena_id;transparent;permeable;x;y
2;1;1;2;2
2;1;1;2;3
2;1;1;2;4
2;1;1;2;5
2;1;1;2;6
2;1;1;2;7
2;1;1;2;8
2;1;1;2;9
2;1;1;2;10
2;1;1;2;11
2;1;1;2;12
2;1;1;2;13
2;1;1;2;14
2;1;1;3;2
2;1;1;3;3
2;1;1;3;4
2;1;1;3;5
2;1;1;3;6
2;1;1;3;7
2;1;1;3;8
2;1;1;3;9
2;1;1;3;10
2;1;1;3;11
2;1;1;3;12
2;1;1;3;13
2;1;1;3;14
2;1;1;4;2
2;1;1;4;3
2;1;1;4;4
2;1;1;4;5
2;1;1;4;6
2;1;1;4;7
2;1;1;4;8
2;1;1;4;9
2;1;1;4;10
2;1;1;4;11
2;1;1;4;12
2;1;1;4;13
2;1;1;4;14
2;1;1;5;2
2;1;1;5;3
2;1;1;5;4
2;1;1;5;5
2;1;1;5;6
2;1;1;5;7
2;1;1;5;8
2;1;1;5;9
2;1;1;5;10
2;1;1;5;11
2;1;1;5;12
2;1;1;5;13
2;1;1;5;14
2;1;1;6;2
2;1;1;6;3
2;1;1;6;4
2;1;1;6;5
2;1;1;6;6
2;1;1;6;7
2;1;1;6;8
2;1;1;6;9
2;1;1;6;10
2;1;1;6;11
2;1;1;6;12
2;1;1;6;13
2;1;1;6;14
2;1;1;7;2
2;1;1;7;3
2;1;1;7;4
2;1;1;7;5
2;1;1;7;6
2;1;1;7;9
2;1;1;7;10
2;1;1;7;11
2;1;1;7;12
2;1;1;7;13
2;1;1;7;14
2;1;1;8;2
2;1;1;8;3
2;1;1;8;4
2;1;1;8;5
2;1;1;8;9
2;1;1;8;10
2;1;1;8;11
2;1;1;8;12
2;1;1;8;13
2;1;1;8;14
2;1;1;9;4
2;1;1;9;5
2;1;1;9;9
2;1;1;9;10
2;1;1;10;4
2;1;1;10;5
2;1;1;10;9
2;1;1;10;10
2;1;1;11;2
2;1;1;11;3
2;1;1;11;4
2;1;1;11;5
2;1;1;11;6
2;1;1;11;7
2;1;1;11;8
2;1;1;11;9
2;1;1;11;10
2;1;1;11;11
2;1;1;11;12
2;1;1;11;13
2;1;1;11;14
2;1;1;12;2
2;1;1;12;3
2;1;1;12;4
2;1;1;12;5
2;1;1;12;6
2;1;1;12;7
2;1;1;12;8
2;1;1;12;9
2;1;1;12;10
2;1;1;12;11
2;1;1;12;12
2;1;1;12;13
2;1;1;12;14
2;1;1;13;2
2;1;1;13;3
2;1;1;13;4
2;1;1;13;5
2;1;1;13;6
2;1;1;13;7
2;1;1;13;8
2;1;1;13;9
2;1;1;13;10
2;1;1;13;11
2;1;1;13;12
2;1;1;13;13
2;1;1;13;14
2;1;1;14;6
2;1;1;14;7
2;1;1;14;11
2;1;1;14;12
2;1;1;15;6
2;1;1;15;7
2;1;1;15;11
2;1;1;15;12
2;1;1;16;2
2;1;1;16;3
2;1;1;16;4
2;1;1;16;5
2;1;1;16;6
2;1;1;16;7
2;1;1;16;10
2;1;1;16;11
2;1;1;16;12
2;1;1;16;13
2;1;1;16;14
2;1;1;17;2
2;1;1;17;3
2;1;1;17;4
2;1;1;17;5
2;1;1;17;6
2;1;1;17;7
2;1;1;17;10
2;1;1;17;11
2;1;1;17;12
2;1;1;17;13
2;1;1;17;14
2;1;1;18;2
2;1;1;18;3
2;1;1;18;4
2;1;1;18;5
2;1;1;18;6
2;1;1;18;7
2;1;1;18;8
2;1;1;18;9
2;1;1;18;10
2;1;1;18;11
2;1;1;18;12
2;1;1;18;13
2;1;1;18;14
2;1;1;19;2
2;1;1;19;3
2;1;1;19;4
2;1;1;19;5
2;1;1;19;6
2;1;1;19;7
2;1;1;19;8
2;1;1;19;9
2;1;1;19;10
2;1;1;19;11
2;1;1;19;12
2;1;1;19;13
2;1;1;19;14
2;1;1;20;2
2;1;1;20;3
2;1;1;20;4
2;1;1;20;5
2;1;1;20;6
2;1;1;20;7
2;1;1;20;8
2;1;1;20;9
2;1;1;20;10
2;1;1;20;11
2;1;1;20;12
2;1;1;20;13
2;1;1;20;14
2;1;1;21;2
2;1;1;21;3
2;1;1;21;4
2;1;1;21;5
2;1;1;21;6
2;1;1;21;7
2;1;1;21;8
2;1;1;21;9
2;1;1;21;10
2;1;1;21;11
2;1;1;21;12
2;1;1;21;13
2;1;1;21;14
2;1;1;22;2
2;1;1;22;3
2;1;1;22;4
2;1;1;22;5
2;1;1;22;6
2;1;1;22;7
2;1;1;22;8
2;1;1;22;9
2;1;1;22;10
2;1;1;22;11
2;1;1;22;12
2;1;1;22;13
2;1;1;22;14
